BookID,Title,Author,Genre,MinTierID
B00001,Astronomy Explained (8th Edition),Christian Campbell,Science,T0001
B00002,Scientific Thinking (4th Edition),Ava Poh,Science,T0001
B00003,Neural Networks Explained (3rd Edition),Jerome Chen,Artificial Intelligence,T0001
B00004,Medieval Europe (3rd Edition),Chloe Campbell,History,T0002
B00005,Shadows and Light (6th Edition),Colin Tan,Young Adult,T0001
B00006,Parallel Computing Foundations (3rd Edition),Xenia Young,Computer Science,T0002
B00007,Digital Innovation Studies (7th Edition),Lydia Ali,Research Journal,T0001
B00008,Emerging Technologies Quarterly (1st Edition),Clara Thompson,Research Journal,T0001
B00009,Introduction to Databases (4th Edition),Emma Deng,Computer Science,T0001
B00010,AI for Business (2nd Edition),Carter Xie,Artificial Intelligence,T0001
B00011,International Marketing (6th Edition),Melissa Carter,Business,T0001
B00012,Advanced Computing Review (6th Edition),Nicholas Wong,Research Journal,T0003
B00013,The Hidden Truth (4th Edition),Jayden Xu,Fiction,T0001
B00014,Modern Biology (1st Edition),Isabella Roberts,Science,T0001
B00015,Crossing Paths (1st Edition),Howard Jones,Young Adult,T0001
B00016,Journal of Intelligent Systems (7th Edition),James Abdullah,Research Journal,T0001
B00017,The Lost Puppy (5th Edition),Lisa Williams,Children,T0001
B00018,Earth and Environment (7th Edition),Harry Ismail,Science,T0001
B00019,Journal of Artificial Intelligence (8th Edition),Owen Harun,Research Journal,T0001
B00020,Programming Paradigms (6th Edition),Kristine Guo,Computer Science,T0001
B00021,Scientific Thinking (6th Edition),Terrence Tan,Science,T0002
B00022,AI Applications Journal (8th Edition),Joshua Toh,Research Journal,T0001
B00023,Knowledge Discovery Journal (4th Edition),Rebecca Guo,Research Journal,T0001
B00024,Advances in Data Science (5th Edition),Florence Wright,Research Journal,T0002
B00025,Neural Networks Explained (1st Edition),Jerome Williams,Artificial Intelligence,T0001
B00026,Data Platform Operations (5th Edition),George Pillai,Data Engineering,T0002
B00027,Practical Linux Administration (5th Edition),Jessica Moore,Computer Science,T0001
B00028,Shadows and Light (2nd Edition),Jayden Taylor,Young Adult,T0001
B00029,The Industrial Revolution (7th Edition),Yong Sheng Ali,History,T0002
B00030,Sam and the Treasure Map (6th Edition),Austin Campbell,Children,T0001
B00031,The Last Promise (8th Edition),Wendy Sim,Young Adult,T0003
B00032,Digital Business Transformation (1st Edition),Jia Yi Martinez,Business,T0001
B00033,The Talking Cat (9th Edition),Gladys Moore,Children,T0001
B00034,Research Methods in Computing (8th Edition),Esther Williams,Research Journal,T0001
B00035,AI and Society (10th Edition),Christian Lim,Artificial Intelligence,T0002
B00036,Advanced Computing Review (3rd Edition),Edward Thompson,Research Journal,T0002
B00037,Computer Networks Explained (9th Edition),Sebastian Abdullah,Computer Science,T0003
B00038,AI Project Management (8th Edition),Jun Hao Kapoor,Artificial Intelligence,T0001
B00039,Consumer Behaviour (1st Edition),Harold Das,Business,T0001
B00040,The Living World (10th Edition),Candice Carter,Science,T0001
B00041,Cybersecurity Fundamentals (6th Edition),Christian Green,Computer Science,T0001
B00042,Managing Change (10th Edition),Sylvia Thomas,Business,T0001
B00043,Lily's First Journey (1st Edition),Ella Rao,Children,T0001
B00044,Ancient Wonders (6th Edition),Henry Ong,History,T0001
B00045,Strategic Decision Making (2nd Edition),Abigail Zainal,Business,T0002
B00046,Applied Machine Learning Studies (8th Edition),Noah Thomas,Research Journal,T0002
B00047,A Day at the Zoo (2nd Edition),Phoebe Mehta,Children,T0001
B00048,History of Innovation (1st Edition),Kai Xin Harris,History,T0001
B00049,The Winter Guest (9th Edition),Martin Moore,Fiction,T0002
B00050,Sam and the Treasure Map (10th Edition),Clara Hamid,Children,T0001
B00051,Generative AI Applications (5th Edition),Julie Sharma,Artificial Intelligence,T0001
B00052,Strategic Decision Making (10th Edition),Doreen Xie,Business,T0001
B00053,Chemistry in Action (4th Edition),Patrick Lin,Science,T0001
B00054,Mastering Apache Spark (3rd Edition),Beatrice Noor,Data Engineering,T0001
B00055,Enterprise Data Integration (9th Edition),Valerie Razak,Data Engineering,T0001
B00056,The Sleepy Dinosaur (5th Edition),Louise Scott,Children,T0001
B00057,Advances in Data Science (1st Edition),Patrick Cai,Research Journal,T0001
